nama_sekolah;npsn;nss;npwp;alamat;desa;kecamatan;kabupaten;provinsi;tahun_berdiri;nomor_sk_pendirian;tgl_sk_pendirian;status_sekolah;nama_penyelenggara_yayasan;alamat_penyelenggara_yayasan;sk_pendirian_yayasan;gedung_sekolah;akreditasi_sekolah;status_tanah_sekolah;luas_tanah_sekolah;email_sekolah;created_at;updated_at
PAUD BETLEHEM;69991721;;;;;;;;;;;;;;;;;;;;;
SMP PERINTIS MANIMERI II;60401950;;;;;;;;;;;;;;;;;;;;;
PAUD/KB WARAITAMA;69940437;;;;;;;;;;;;;;;;;;;;;
SMP PERINTIS KELAPA DUA;60401945;;;;;;;;;;;;;;;;;;;;;
TK CENDERAWASIH MANIMERI SP 1;60403674;;;;;;;;;;;;;;;;;;;;;
SMP NEGERI I BINTUNI;60401954;;;;;;;;;;;;;;;;;;;;;
SD INPRES WIMRO;60401913;;;;;;;;;;;;;;;;;;;;;
SD YPPK RIENDO;60401930;;;;;;;;;;;;;;;;;;;;;
TKN KARYA MANDIRI MOSKONA;60725765;;;;;;;;;;;;;;;;;;;;;
SD YPK DIASPORA TIRASAI;60403480;;;;;;;;;;;;;;;;;;;;;
SD YPPK TEMBUNI;60401933;;;;;;;;;;;;;;;;;;;;;
TK YPK MARANATHA;70008074;;;;;;;;;;;;;;;;;;;;;
SD YPPK ST SANTUPETRUS;60401924;;;;;;;;;;;;;;;;;;;;;
SD NEGERI BARMA;60401883;;;;;;;;;;;;;;;;;;;;;
TK Pertiwi Barma Baru;69938371;;;;;;;;;;;;;;;;;;;;;
SD INPRES STENGKOL III;60401914;;;;;;;;;;;;;;;;;;;;;
SMPN SATAP AROBA;60725748;;;;;;;;;;;;;;;;;;;;;
SMA NEGERI KAITARO;69879192;;;;;;;;;;;;;;;;;;;;;
PKBM BINA ILMU;P9948450;;;;;;;;;;;;;;;;;;;;;
TK CENDRAWASIH MEYERGA;70010773;;;;;;;;;;;;;;;;;;;;;
SMP NEGERI 1 ARANDAY;60401956;;;;;;;;;;;;;;;;;;;;;
TK ST MARIA;60403691;;;;;;;;;;;;;;;;;;;;;
KB BUSTANUL ATHFAAL YAA BUNAYYA;70006009;;;;;;;;;;;;;;;;;;;;;
SD INPRES BABO;60401882;;;;;;;;;;;;;;;;;;;;;
SMP NEGERI BABO;60401957;;;;;;;;;;;;;;;;;;;;;
SMPN TAROI;60725746;;;;;;;;;;;;;;;;;;;;;
SMKN 1 BINTUNI;60403490;;;;;;;;;;;;;;;;;;;;;
SMAN MERDEY;60403660;;;;;;;;;;;;;;;;;;;;;
SD YPPK AROBA;60401944;;;;;;;;;;;;;;;;;;;;;
SD INPRES KALI KODOK;60401887;;;;;;;;;;;;;;;;;;;;;
SD PERSIAPAN OBO;60403649;;;;;;;;;;;;;;;;;;;;;
SMPN SATAP HORNA;60725747;;;;;;;;;;;;;;;;;;;;;
Paud/KB Merij Idut;69938355;;;;;;;;;;;;;;;;;;;;;
SD INPRES IGOMU;60401885;;;;;;;;;;;;;;;;;;;;;
SMP YPK TANAH MERAH;60403497;;;;;;;;;;;;;;;;;;;;;
SD INPRES KALIBIRU;60403648;;;;;;;;;;;;;;;;;;;;;
TK INTEGRAL QURROTA A’YUN;70006010;;;;;;;;;;;;;;;;;;;;;
SD INPRES NARAMASA;60401897;;;;;;;;;;;;;;;;;;;;;
TK SANTO MIKAEL TANIBA;70005978;;;;;;;;;;;;;;;;;;;;;
TK YPK PNIEL SP IV MANIMERI;69939741;;;;;;;;;;;;;;;;;;;;;
SMP YPK BINTUNI;60404138;;;;;;;;;;;;;;;;;;;;;
TK PGRI Materabu Jaya SP 1;69938368;;;;;;;;;;;;;;;;;;;;;
SMAS YPK BINTUNI;60401962;;;;;;;;;;;;;;;;;;;;;
SD INPRES MEYERGA;60401895;;;;;;;;;;;;;;;;;;;;;
KB Sta. LUCIA;69967959;;;;;;;;;;;;;;;;;;;;;
TK YPK SERITO;70008342;;;;;;;;;;;;;;;;;;;;;
TK PANCASILA;60403684;;;;;;;;;;;;;;;;;;;;;
KB SAIBMA;70037839;;;;;;;;;;;;;;;;;;;;;
